origin,destination,weight,shipment_type,day_of_week,delivery_days
Pune,Chennai,142.63178880828247,Air,4,2.5
Pune,Jaipur,50.38943736528376,Standard,2,4.3
Hyderabad,Kolkata,145.50152289821816,Air,5,3.6
Jaipur,Mumbai,78.95381170862917,Standard,3,4.2
Bangalore,Ahmedabad,147.49301742811483,Express,4,3.6
Pune,Delhi,142.35838781937332,Ocean,1,6.5
Surat,Jaipur,2.886954706922022,Standard,3,2.4
Ahmedabad,Bangalore,136.44340011077793,Standard,3,4.3
Delhi,Pune,31.587278598794228,Express,4,3.4
Ahmedabad,Pune,78.36472187386065,Ocean,4,5.8
Delhi,Hyderabad,88.21929926674531,Ocean,3,5.6
Mumbai,Surat,148.03959702177733,Air,3,2.0
Ahmedabad,Jaipur,2.6049334959051262,Standard,2,2.9
Surat,Pune,97.8360153125407,Ocean,0,5.0
Ahmedabad,Delhi,14.76381241531649,Standard,5,4.4
Ahmedabad,Hyderabad,133.13830501516082,Express,4,3.4
Bangalore,Mumbai,108.39856341414854,Standard,5,6.1
Surat,Bangalore,5.198663260166771,Express,3,1.4
Chennai,Hyderabad,37.7691882577568,Express,2,2.4
Delhi,Surat,16.271391844625455,Express,3,2.2
Chennai,Ahmedabad,134.46564933856223,Standard,0,4.8
Jaipur,Chennai,53.20904402195827,Standard,5,4.4
Ahmedabad,Surat,72.98208071816799,Express,1,2.1
Hyderabad,Jaipur,105.60133435482909,Standard,0,3.9
Surat,Chennai,37.407971394370875,Express,2,1.7
Mumbai,Delhi,146.5039358969816,Express,6,2.6
Kolkata,Mumbai,95.33552603285389,Express,4,4.0
Pune,Chennai,12.58757228674093,Standard,0,3.1
Hyderabad,Jaipur,70.80994484968275,Ocean,5,6.2
Mumbai,Surat,48.456619713274506,Standard,4,3.8
Bangalore,Kolkata,49.23085632768177,Standard,1,3.3
Pune,Chennai,141.1082280411958,Standard,6,4.1
Delhi,Jaipur,21.05938114982599,Standard,0,2.6
Surat,Bangalore,34.6682282586963,Standard,0,2.8
Chennai,Mumbai,36.65691748961753,Standard,3,3.8
Pune,Surat,42.19126721253119,Air,2,1.1
Chennai,Jaipur,60.973965004767415,Air,3,1.5
Bangalore,Surat,99.69351448165435,Standard,5,5.2
Delhi,Bangalore,103.93833205505764,Express,0,2.4
Ahmedabad,Jaipur,127.4588998688796,Express,0,2.5
Bangalore,Pune,40.14775396841795,Standard,5,4.1
Ahmedabad,Delhi,52.83672195035402,Express,6,2.2
Mumbai,Hyderabad,34.912697602112516,Express,3,1.8
Mumbai,Hyderabad,132.5823563288057,Air,4,2.8
Ahmedabad,Mumbai,83.13836254190575,Express,3,1.9
Kolkata,Ahmedabad,40.636991105078444,Express,1,2.7
Jaipur,Hyderabad,104.55645460290846,Express,1,2.6
Delhi,Mumbai,127.37613434123882,Standard,5,4.7
